sourceID	targetID	weight
1	0	151
194	0	76
5	0	36
445	0	54
193	0	54
443	0	52
2	0	49
450	0	46
447	0	46
452	0	45
195	0	40
458	0	38
442	0	38
444	0	33
453	0	35
198	0	35
461	0	31
529	0	31
456	0	29
455	0	28
577	0	27
585	0	24
460	0	23
518	0	24
532	0	23
511	0	12
534	0	21
615	0	19
522	0	18
547	0	18
510	0	16
521	0	17
459	0	17
551	0	3
556	0	17
566	0	17
517	0	16
568	0	15
603	0	15
509	0	15
584	0	15
559	0	4
530	0	14
454	0	14
539	0	14
570	0	11
545	0	14
636	0	14
537	0	14
740	0	13
451	0	13
839	0	13
761	0	12
650	0	12
579	0	12
588	0	12
677	0	12
538	0	12
550	0	12
558	0	12
867	0	12
520	0	11
664	0	7
609	0	11
666	0	11
564	0	11
657	0	11
847	0	11
779	0	11
610	0	11
836	0	11
533	0	4
569	0	10
745	0	10
580	0	10
592	0	10
575	0	10
878	0	5
542	0	10
654	0	10
543	0	4
880	0	9
571	0	7
552	0	9
651	0	9
900	0	9
640	0	9
635	0	9
514	0	2
565	0	9
658	0	9
606	0	9
641	0	8
626	0	8
598	0	7
746	0	8
851	0	8
627	0	8
625	0	8
600	0	8
653	0	8
604	0	6
869	0	8
925	0	8
676	0	8
665	0	8
929	0	8
912	0	8
992	0	7
599	0	7
816	0	7
767	0	5
661	0	7
4	0	7
668	0	7
858	0	7
777	0	7
916	0	7
613	0	7
785	0	7
780	0	7
896	0	7
771	0	7
961	0	7
574	0	7
781	0	7
674	0	7
1387	0	7
3	0	6
770	0	6
750	0	6
755	0	6
864	0	6
907	0	6
642	0	6
885	0	6
1086	0	6
901	0	6
782	0	6
742	0	6
9	0	6
760	0	3
876	0	6
608	0	6
1070	0	6
857	0	6
1102	0	6
1240	0	6
1005	0	6
726	0	5
778	0	6
754	0	6
633	0	6
844	0	6
889	0	6
1099	0	6
680	0	4
555	0	6
1093	0	6
752	0	6
192	0	2
845	0	6
612	0	6
913	0	6
850	0	6
891	0	6
848	0	6
865	0	5
1001	0	5
1076	0	5
881	0	5
670	0	5
1055	0	5
914	0	5
772	0	5
979	0	5
535	0	2
1151	0	5
1307	0	5
197	0	5
578	0	5
775	0	5
897	0	5
1729	0	2
834	0	5
1261	0	5
928	0	5
774	0	5
554	0	4
882	0	2
963	0	5
843	0	5
854	0	5
946	0	3
1346	0	5
688	0	5
602	0	5
879	0	5
1063	0	5
863	0	5
1361	0	5
1104	0	5
909	0	5
1109	0	5
927	0	5
855	0	5
628	0	5
888	0	5
527	0	5
672	0	5
837	0	5
1571	0	5
1062	0	4
1108	0	4
829	0	4
1246	0	4
1083	0	3
1507	0	4
1002	0	4
919	0	4
1094	0	4
6	0	4
886	0	4
884	0	4
903	0	4
1081	0	4
915	0	4
207	0	4
652	0	3
586	0	4
942	0	4
902	0	4
669	0	4
587	0	3
868	0	4
1248	0	4
630	0	4
953	0	4
1065	0	4
645	0	4
1084	0	4
1110	0	4
1149	0	4
1816	0	4
826	0	3
930	0	4
1295	0	4
660	0	4
1322	0	4
1092	0	4
856	0	3
1015	0	3
1438	0	4
1078	0	4
1223	0	4
1012	0	4
549	0	4
1098	0	4
1074	0	4
887	0	4
1807	0	4
830	0	4
972	0	4
595	0	4
1249	0	4
749	0	3
457	0	4
895	0	4
1130	0	4
1133	0	4
1702	0	4
1174	0	4
560	0	4
883	0	4
918	0	4
1180	0	4
1000	0	4
866	0	4
983	0	4
943	0	4
1115	0	4
1142	0	4
747	0	4
1069	0	4
904	0	4
1088	0	3
1041	0	2
996	0	4
1244	0	3
593	0	4
1103	0	4
910	0	4
562	0	4
937	0	4
1178	0	4
1071	0	3
1501	0	3
1676	0	3
679	0	3
1096	0	3
1698	0	3
1329	0	3
1640	0	3
1061	0	3
2054	0	3
1206	0	3
1207	0	3
18	0	3
1451	0	3
846	0	3
890	0	3
673	0	3
1068	0	3
1432	0	3
1872	0	3
1306	0	3
1433	0	3
828	0	3
1079	0	3
1227	0	3
1746	0	3
1176	0	3
1112	0	3
1458	0	3
1173	0	2
601	0	2
1429	0	3
1177	0	3
1091	0	3
1260	0	3
1131	0	3
20	0	3
1806	0	3
1007	0	3
1060	0	3
1981	0	3
2096	0	3
1299	0	3
17	0	3
1111	0	3
19	0	3
1514	0	3
784	0	3
1087	0	3
1324	0	3
449	0	3
1537	0	3
1136	0	3
1455	0	3
589	0	3
1562	0	3
1941	0	3
1281	0	3
1105	0	3
1095	0	3
1820	0	3
1251	0	3
1443	0	3
1789	0	3
1869	0	3
991	0	3
1419	0	3
1146	0	3
1300	0	3
1034	0	3
1530	0	3
1681	0	3
1290	0	3
924	0	3
1752	0	3
1197	0	3
932	0	3
1267	0	3
13	0	3
205	0	3
849	0	3
1263	0	3
1616	0	3
951	0	3
1463	0	3
1461	0	3
1036	0	3
576	0	3
1276	0	3
2496	0	3
23	0	3
893	0	3
1066	0	3
21	0	3
1980	0	3
1351	0	3
1925	0	3
8	0	3
1114	0	3
7	0	3
1995	0	3
1289	0	3
1184	0	3
1116	0	3
1067	0	2
1963	0	3
1266	0	3
1279	0	3
1867	0	3
1798	0	3
11	0	3
2093	0	3
1064	0	3
1895	0	3
643	0	3
605	0	3
1195	0	3
894	0	3
15	0	3
1181	0	3
1321	0	3
14	0	3
12	0	3
1189	0	3
1568	0	3
10	0	3
1757	0	3
1476	0	3
97	0	2
73	0	2
65	0	2
50	0	2
189	0	2
100	0	2
675	0	2
77	0	2
62	0	2
182	0	2
39	0	2
1326	0	2
1523	0	2
1320	0	2
2101	0	2
69	0	2
1832	0	2
45	0	2
1754	0	2
753	0	2
1293	0	2
908	0	2
103	0	2
142	0	2
72	0	2
1355	0	2
1625	0	2
2258	0	2
1613	0	2
90	0	2
462	0	2
159	0	2
638	0	2
132	0	2
63	0	2
155	0	2
48	0	2
172	0	2
143	0	2
1761	0	2
1325	0	2
1454	0	2
2755	0	2
2415	0	2
1783	0	2
1513	0	2
1817	0	2
1341	0	2
1453	0	2
1690	0	2
87	0	2
211	0	2
1519	0	2
1768	0	2
2206	0	2
1292	0	2
1234	0	2
2156	0	2
174	0	2
187	0	2
1182	0	2
2036	0	2
1275	0	2
133	0	2
107	0	2
126	0	2
1533	0	2
185	0	2
171	0	2
125	0	2
1191	0	2
151	0	2
1745	0	2
1288	0	2
2048	0	2
184	0	2
173	0	2
2016	0	2
1706	0	2
52	0	2
1253	0	2
1264	0	2
191	0	2
3039	0	2
1479	0	2
158	0	2
2806	0	2
1404	0	2
108	0	2
1629	0	2
1319	0	2
1450	0	2
1786	0	2
872	0	2
1565	0	2
202	0	2
113	0	2
2055	0	2
1804	0	2
25	0	2
1584	0	2
1805	0	2
611	0	2
2274	0	2
644	0	2
1910	0	2
2374	0	2
1678	0	2
1673	0	2
201	0	2
81	0	2
1446	0	2
1216	0	2
2066	0	2
1833	0	2
114	0	2
1354	0	2
1009	0	2
1250	0	2
118	0	2
94	0	2
