id	name	power	first	last	group
0	Volk,HD	32	1983	1985	1
1	Grunow,R	23	1984	1985	1
2	Diezel,W	14	1985	1985	1
3	Waschke,SR	11	1985	1985	1
4	Fiebig,H	11	1985	1985	1
5	von Baehr,R	7	1985	1985	1
6	Jahn,S	6	1985	1985	1
7	Sönnichsen,N	6	1985	1985	1
8	Barthelmes,H	6	1985	1985	1
9	Meffert,H	4	1985	1985	1
10	Gruner,S	4	1985	1985	1
11	Krüger,W	3	1983	1983	1
12	Günther,E	3	1977	1977	1
13	Neuhaus,K	3	1984	1984	1
14	Reinke,C	3	1977	1977	1
15	Reinke,P	3	1977	1977	1
16	Riese,C	3	1983	1983	1
17	Schabinski,G	3	1977	1977	1
18	Schnitzler,S	3	1983	1983	1
19	Stingl,G	3	1985	1985	1
20	Volc-Platzer,B	3	1985	1985	1
21	Effenberger,E	3	1984	1984	1
22	Ittenson,A	2	1985	1985	1
23	Grunow,G	2	1985	1985	1
