title	abstract	journal	publication_date	doi	authors	pos	pos_last
Reactive T Cells in Convalescent COVID-19 Patients With Negative SARS-CoV-2 Antibody Serology.	Despite RT-PCR confirmed COVID-19, specific antibodies to SARS-CoV-2 spike are undetectable in serum in approximately 10% of convalescent patients after mild disease course. This raises the question of induction and persistence of SARS-CoV-2-reactive T cells in these convalescent individuals. Using flow cytometry, we assessed specific SARS-CoV-2 and human endemic coronaviruses (HCoV-229E, -OC43) reactive T cells after stimulation with spike and nucleocapsid peptide pools and analyzed cytokine polyfunctionality (IFN	Frontiers in immunology	2021-07-30	10.3389/fimmu.2021.687449	Steiner,S|Schwarz,T|Corman,VM|Sotzny,F|Bauer,S|Drosten,C|Volk,HD|Scheibenbogen,C|Hanitsch,LG	7	3
Bio-instructive hydrogel expands the paracrine potency of mesenchymal stem cells.	The therapeutic efficacy of clinically applied mesenchymal stromal cells (MSCs) is limited due to their injection into harsh	Biofabrication	2021-06-11	10.1088/1758-5090/ac0a32	Drzeniek,NM|Mazzocchi,A|Schlickeiser,S|Forsythe,SD|Moll,G|Geißler,S|Reinke,P|Gossen,M|Gorantla,VS|Volk,HD|Soker,S	10	2
SARS-CoV-2 in severe COVID-19 induces a TGF-β-dominated chronic immune response that does not target itself.	The pathogenesis of severe COVID-19 reflects an inefficient immune reaction to SARS-CoV-2. Here we analyze, at the single cell level, plasmablasts egressed into the blood to study the dynamics of adaptive immune response in COVID-19 patients requiring intensive care. Before seroconversion in response to SARS-CoV-2 spike protein, peripheral plasmablasts display a type 1 interferon-induced gene expression signature; however, following seroconversion, plasmablasts lose this signature, express instead gene signatures induced by IL-21 and TGF-β, and produce mostly IgG1 and IgA1. In the sustained immune reaction from COVID-19 patients, plasmablasts shift to the expression of IgA2, thereby reflecting an instruction by TGF-β. Despite their continued presence in the blood, plasmablasts are not found in the lungs of deceased COVID-19 patients, nor does patient IgA2 binds to the dominant antigens of SARS-CoV-2. Our results thus suggest that, in severe COVID-19, SARS-CoV-2 triggers a chronic immune reaction that is instructed by TGF-β, and is distracted from itself.	Nature communications	2021-04-01	10.1038/s41467-021-22210-3	Ferreira-Gomes,M|Kruglov,A|Durek,P|Heinrich,F|Tizian,C|Heinz,GA|Pascual-Reguant,A|Du,W|Mothes,R|Fan,C|Frischbutter,S|Habenicht,K|Budzinski,L|Ninnemann,J|Jani,PK|Guerra,GM|Lehmann,K|Matz,M|Ostendorf,L|Heiberger,L|Chang,HD|Bauherr,S|Maurer,M|Schönrich,G|Raftery,M|Kallinich,T|Mall,MA|Angermair,S|Treskatsch,S|Dörner,T|Corman,VM|Diefenbach,A|Volk,HD|Elezkurtaj,S|Winkler,TH|Dong,J|Hauser,AE|Radbruch,H|Witkowski,M|Melchers,F|Radbruch,A|Mashreghi,MF	33	10
Preformed T cell alloimmunity and HLA eplet mismatch to guide immunosuppression minimization with tacrolimus monotherapy in kidney transplantation: Results of the CELLIMIN trial.	Personalizing immunosuppression is a major objective in transplantation. Transplant recipients are heterogeneous regarding their immunological memory and primary alloimmune susceptibility. This biomarker-guided trial investigated whether in low immunological-risk kidney transplants without pretransplant DSA and donor-specific T cells assessed by a standardized IFN-γ ELISPOT, low immunosuppression (LI) with tacrolimus monotherapy would be non-inferior regarding 6-month BPAR than tacrolimus-based standard of care (SOC). Due to low recruitment rates, the trial was terminated when 167 patients were enrolled. ELISPOT negatives (E-) were randomized to LI (n = 48) or SOC (n = 53), E+ received the same SOC. Six- and 12-month BPAR rates were higher among LI than SOC/E- (4/35 [13%] vs. 1/43 [2%], p = .15 and 12/48 [25%] vs. 6/53 [11.3%], p = .073, respectively). E+ patients showed similarly high BPAR rates than LI at 6 and 12 months (12/55 [22%] and 13/66 [20%], respectively). These differences were stronger in per-protocol analyses. Post-hoc analysis revealed that poor class-II eplet matching, especially DQ, discriminated E- patients, notably E-/LI, developing BPAR (4/28 [14%] low risk vs. 8/20 [40%] high risk, p = .043). Eplet mismatch also predicted anti-class-I (p = .05) and anti-DQ (p < .001) de novo DSA. Adverse events were similar, but E-/LI developed fewer viral infections, particularly polyoma-virus-associated nephropathy (p = .021). Preformed T cell alloreactivity and HLA eplet mismatch assessment may refine current baseline immune-risk stratification and guide immunosuppression decision-making in kidney transplantation.	American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons	2021-03-17	10.1111/ajt.16563	Bestard,O|Meneghini,M|Crespo,E|Bemelman,F|Koch,M|Volk,HD|Viklicky,O|Giral,M|Banas,B|Ruiz,JC|Melilli,E|Hu,L|van Duivenvoorden,R|Nashan,B|Thaiss,F|Otto,NM|Bold,G|Stein,M|Sefrin,A|Lachmann,N|Hruba,P|Stranavova,L|Brouard,S|Braudeau,C|Blancho,G|Banas,M|Irure,J|Christakoudi,S|Sanchez-Fueyo,A|Wood,KJ|Reinke,P|Grinyó,JM	6	27
Super-Treg: Toward a New Era of Adoptive Treg Therapy Enabled by Genetic Modifications.	Regulatory Tcells (Treg) are essential components of peripheral immune homeostasis. Adoptive Treg cell therapy has shown efficacy in a variety of immune-mediated diseases in preclinical studies and is now moving from phase I/IIa to larger phase II studies aiming to demonstrate efficacy. However, hurdles such as 	Frontiers in immunology	2021-03-16	10.3389/fimmu.2020.611638	Amini,L|Greig,J|Schmueck-Henneresse,M|Volk,HD|Bézie,S|Reinke,P|Guillonneau,C|Wagner,DL|Anegon,I	4	6
Disease Severity, Fever, Age, and Sex Correlate With SARS-CoV-2 Neutralizing Antibody Responses.	Clinical trials on the use of COVID-19 convalescent plasma remain inconclusive. While data on safety is increasingly available, evidence for efficacy is still sparse. Subgroup analyses hint to a dose-response relationship between convalescent plasma neutralizing antibody levels and mortality. In particular, patients with primary and secondary antibody deficiency might benefit from this approach. However, testing of neutralizing antibodies is limited to specialized biosafety level 3 laboratories and is a time- and labor-intense procedure. In this single center study of 206 COVID-19 convalescent patients, clinical data, results of commercially available ELISA testing of SARS-CoV-2 spike-IgG and -IgA, and levels of neutralizing antibodies, determined by plaque reduction neutralization testing (PRNT), were analyzed. At a medium time point of 58 days after symptom onset, only 12.6% of potential plasma donors showed high levels of neutralizing antibodies (PRNT50 ≥ 1:320). Multivariable proportional odds logistic regression analysis revealed need for hospitalization due to COVID-19 (odds ratio 6.87; 	Frontiers in immunology	2021-02-16	10.3389/fimmu.2020.628971	Schlickeiser,S|Schwarz,T|Steiner,S|Wittke,K|Al Besher,N|Meyer,O|Kalus,U|Pruß,A|Kurth,F|Zoller,T|Witzenrath,M|Sander,LE|Müller,MA|Scheibenbogen,C|Volk,HD|Drosten,C|Corman,VM|Hanitsch,LG	15	4
Targeted De-Methylation of the FOXP3-TSDR Is Sufficient to Induce Physiological FOXP3 Expression but Not a Functional Treg Phenotype.	CD4+ regulatory T cells (Tregs) are key mediators of immunological tolerance and promising effector cells for immuno-suppressive adoptive cellular therapy to fight autoimmunity and chronic inflammation. Their functional stability is critical for their clinical utility and has been correlated to the demethylated state of the TSDR/CNS2 enhancer element in the Treg lineage transcription factor FOXP3. However, proof for a causal contribution of the TSDR de-methylation to FOXP3 stability and Treg induction is so far lacking. We here established a powerful transient-transfection CRISPR-Cas9-based epigenetic editing method for the selective de-methylation of the TSDR within the endogenous chromatin environment of a living cell. The induced de-methylated state was stable over weeks in clonal T cell proliferation cultures even after expression of the editing complex had ceased. Epigenetic editing of the TSDR resulted in FOXP3 expression, even in its physiological isoform distribution, proving a causal role for the de-methylated TSDR in FOXP3 regulation. However, successful FOXP3 induction was not associated with a switch towards a functional Treg phenotype, in contrast to what has been reported from FOXP3 overexpression approaches. Thus, TSDR de-methylation is required, but not sufficient for a stable Treg phenotype induction. Therefore, targeted demethylation of the TSDR may be a critical addition to published 	Frontiers in immunology	2021-01-26	10.3389/fimmu.2020.609891	Kressler,C|Gasparoni,G|Nordström,K|Hamo,D|Salhab,A|Dimitropoulos,C|Tierling,S|Reinke,P|Volk,HD|Walter,J|Hamann,A|Polansky,JK	9	4
The intratumoral CXCR3 chemokine system is predictive of chemotherapy response in human bladder cancer.	Chemotherapy has direct toxic effects on cancer cells; however, long-term cancer control and complete remission are likely to involve CD8	Science translational medicine	2021-01-15	10.1126/scitranslmed.abb3735	Vollmer,T|Schlickeiser,S|Amini,L|Schulenberg,S|Wendering,DJ|Banday,V|Jurisch,A|Noster,R|Kunkel,D|Brindle,NR|Savidis,I|Akyüz,L|Hecht,J|Stervbo,U|Roch,T|Babel,N|Reinke,P|Winqvist,O|Sherif,A|Volk,HD|Schmueck-Henneresse,M	20	2
HCoV- and SARS-CoV-2 Cross-Reactive T Cells in CVID Patients.	The inability of patients with CVID to mount specific antibody responses to pathogens has raised concerns on the risk and severity of SARS-CoV-2 infection, but there might be a role for protective T cells in these patients. SARS-CoV-2 reactive T cells have been reported for SARS-CoV-2 unexposed healthy individuals. Until now, there is no data on T cell immunity to SARS-CoV-2 infection in CVID. This study aimed to evaluate reactive T cells to human endemic corona viruses (HCoV) and to study pre-existing SARS-CoV-2 reactive T cells in unexposed CVID patients. We evaluated SARS-CoV-2- and HCoV-229E and -OC43 reactive T cells in response to seven peptide pools, including spike and nucleocapsid (NCAP) proteins, in 11 unexposed CVID, 12 unexposed and 11 post COVID-19 healthy controls (HC). We further characterized reactive T cells by IFNγ, TNFα and IL-2 profiles. SARS-CoV-2 spike-reactive CD4+ T cells were detected in 7 of 11 unexposed CVID patients, albeit with fewer multifunctional (IFNγ/TNFα/IL-2) cells than unexposed HC. CVID patients had no SARS-CoV-2 NCAP reactive CD4+ T cells and less reactive CD8+ cells compared to unexposed HC. We observed a correlation between T cell reactivity against spike of SARS-CoV-2 and HCoVs in unexposed, but not post COVID-19 HC, suggesting cross-reactivity. T cell responses in post COVID-19 HC could be distinguished from unexposed HC by higher frequencies of triple-positive NCAP reactive CD4+ T cells. Taken together, SARS-CoV-2 reactive T cells are detectable in unexposed CVID patients albeit with lower recognition frequencies and polyfunctional potential. Frequencies of triple-functional reactive CD4+ cells might provide a marker to distinguish HCoV cross-reactive from SARS-CoV-2 specific T cell responses. Our data provides evidence, that anti-viral T cell immunity is not relevantly impaired in most CVID patients.	Frontiers in immunology	2021-01-12	10.3389/fimmu.2020.607918	Steiner,S|Sotzny,F|Bauer,S|Na,IK|Schmueck-Henneresse,M|Corman,VM|Schwarz,T|Drosten,C|Wendering,DJ|Behrends,U|Volk,HD|Scheibenbogen,C|Hanitsch,LG	11	3
Activity and components of the granulocyte colony-stimulating factor pathway in hidradenitis suppurativa.	"Hidradenitis suppurativa (HS) is a chronic inflammatory disease, characterized by painful, purulent and destructive skin alterations in intertriginous areas.
We investigated the expression and role in HS of granulocyte colony-stimulating factor (G-CSF), the regulator of neutrophil biology, as clinical signs of a neutrophilic granulocyte-driven inflammation are distinctive in the disease.
Skin and blood samples obtained from different cohorts of patients with HS and control individuals were assessed by RNA sequencing, quantitative polymerase chain reaction on reverse transcribed mRNA, and/or enzyme-linked immunosorbent assay. Mechanistic studies using keratinocytes, dermal fibroblasts, immune cell populations and skin biopsies were performed.
G-CSF was abundant in HS skin, particularly in inflamed nodules and abscesses. Its levels even exceeded those found in other inflammatory skin diseases. Interleukin (IL)-1 and IL-17, respectively, induced G-CSF production by fibroblasts and keratinocytes. These effects were enhanced by tumour necrosis factor (TNF)-α and IL-36. Accordingly, fibroblasts separated from HS lesions expressed G-CSF, and IL-1 receptor antagonist reduced G-CSF levels in explanted HS skin. G-CSF blood levels positively correlated with severity of HS. Elevated lesional G-CSF receptor levels were linked to upregulation of molecules that contribute to prolonged activation of neutrophils by components of bacteria and damaged host cells [formyl peptide receptor 1 (FPR1), FPR2 and free fatty acid receptor 2 (FFAR2)], neutrophil survival [TNF receptor superfamily member 10C (TNFRSF10C/TRAIL-R3) and TNF receptor superfamily member 6B], kinases (tyrosine-protein kinase HCK and hexokinase 3), and skin destruction [MMP25 (matrix metalloproteinase 25) and ADAM8 (disintegrin and metalloproteinase domain-containing protein 8)]. G-CSF elevated the expression of FPR1, FFAR2, and TNFRSF10C/TRAIL-R3 in neutrophils and synergized with bacterial components to induce skin-destructive enzymes.
The G-CSF pathway engages both tissue and immune cells, is strongly activated in HS lesions, and offers the opportunity to target the neutrophil-driven inflammation."	The British journal of dermatology	2021-01-06	10.1111/bjd.19795	Wolk,K|Brembach,TC|Šimaitė,D|Bartnik,E|Cucinotta,S|Pokrywka,A|Irmer,ML|Triebus,J|Witte-Händel,E|Salinas,G|Leeuw,T|Volk,HD|Ghoreschi,K|Sabat,R	12	3
